ID	test	function	found
3	1	crossDeposit	no
3	1	crossDepositETH	no
3	1	borrow	yes
3	1	extinguishDebt	no
3	1	addHolding	yes
3	1	liquidateToPeg	no
3	1	liquidateFromPeg	no
3	1	withdrawHourlyBond	yes
3	1	closeHourlyBondAccount	yes
3	1	_makeFallbackBond	no
3	1	calcCumulativeYieldFP	no
3	1	liquidate	yes
3	1	liquidate	yes
3	1	registerDeposit	yes
3	2	liquidateToPeg	no
3	2	liquidateFromPeg	no
3	2	crossDeposit	no
3	2	crossDepositETH	no
3	2	crossWithdraw	yes
3	2	crossWithdrawETH	yes
3	2	crossBorrow	no
3	2	crossOvercollateralizedBorrow	no
3	2	crossCloseAccount	yes
3	2	withdrawHourlyBond	yes
3	2	closeHourlyBondAccount	yes
3	2	withdrawBond	no
3	2	liquidate	yes
3	2	calcLiquidationAmounts	no
3	2	liquidate	yes
3	2	extinguishDebt	no
3	2	setLeveragePercent	yes
3	2	_withdrawHourlyBond	yes
3	2	setWithdrawalWindow	no
3	2	registerWithdrawal	no
3	2	_registerBorrow	no
3	2	_registerWithdrawal	no
3	2	borrow	yes
3	2	deleteAccount	no
3	2	adjustAmounts	yes
3	2	liquidate	yes
3	2	liquidate	yes
3	3	getPriceFromAMM	yes
3	3	liquidateToPeg	no
3	3	crossDeposit	no
3	3	crossWithdraw	yes
3	3	crossBorrow	no
3	3	crossOvercollateralizedBorrow	no
3	3	crossCloseAccount	yes
3	3	withdrawHourlyBond	yes
3	3	closeHourlyBondAccount	yes
3	3	withdrawBond	no
3	3	liquidate	yes
3	3	liquidate	yes
3	3	disburseLiqStakeAttacks	yes
3	3	borrow	yes
3	3	extinguishDebt	no
3	3	belowMaintenanceThreshold	yes
3	3	calcCumulativeYieldFP	no
3	3	_withdrawHourlyBond	yes
3	3	_withdrawHourlyBond	yes
3	3	registerDeposit	yes
3	3	registerLiquidation	yes
3	3	registerTradeAndBorrow	yes
3	3	liquidate	yes
3	3	borrow	yes
3	3	borrow	yes
3	3	updatedYieldFP	no
3	3	updateSpeed	no
5	1	redeemToMember	yes
5	1	grantFunds	no
5	1	assetChecks	no
5	1	transferOut	yes
5	1	depositForMember	no
5	1	_deposit	yes
5	1	withdraw	yes
5	1	init	yes
5	1	addExcluded	yes
5	2	decreaseAllowance	yes
5	2	_transfer	yes
5	2	withdraw	yes
5	2	depositForMember	no
5	2	harvest	yes
5	2	redeemToMember	yes
5	2	_approve	no
5	2	_transfer	yes
5	2	burnFrom	no
5	2	assetChecks	no
5	2	addLiquidity	yes
5	2	swap	yes
5	2	_removeLiquidity	yes
5	2	mintSynth	yes
5	2	voteProposal	yes
5	3	decreaseAllowance	yes
5	3	addExcluded	yes
5	3	_transfer	yes
5	3	withdraw	yes
5	3	addExcluded	yes
5	3	redeemToMember	yes
5	3	transferTo	yes
5	3	_transfer	yes
5	3	getCollateralValueInBase	no
5	3	getDebtValueInCollateral	no
5	3	getInterestOwed	yes
5	3	mintSynth	yes
5	3	finaliseProposal	yes
5	3	newAddressProposal	yes
8	1	mintTo	no
8	1	redeemTo	no
8	1	swapTo	no
8	1	receiveRewards	yes
8	1	deposit	yes
8	1	deposit	yes
8	2	swapTo	no
8	2	getRandomTokenIdFromFund	yes
8	2	deposit	yes
8	2	exit	yes
8	2	emergencyExitAndClaim	yes
8	2	withdraw	yes
8	2	claimRewards	yes
8	3	swapTo	no
8	3	setEligibilityStorage	no
8	3	deposit	yes
8	3	deposit	yes
10	1	rageQuit	no
10	1	transferERC721	yes
10	1	getNftById	yes
10	2	rageQuit	no
10	3	transferETH	no
10	3	timeLockERC721	yes
12	1	CauldronMath.add	yes
12	1	pour	yes
12	1	stir	yes
12	1	grab	yes
12	1	slurp	no
12	1	roll	yes
12	1	_serve	no
12	1	batch	yes
12	2	pour	yes
12	2	add	yes
12	2	batch	yes
13	1	withdrawDeposit	yes
13	1	rentOwedBetweenTimestmaps	no
13	2	deposit	yes
13	2	withdrawDeposit	yes
13	2	sponsor	yes
13	2	payout	yes
14	1	redeemToken	yes
14	2	redeemToken	yes
14	3	redeemToken	yes
16	1	withdraw	yes
16	1	deposit	yes
16	1	recordTrade	yes
16	1	updatePrice	no
16	1	updateTimeValue	no
16	1	recordTrade	yes
16	1	wadToToken	no
16	1	claimReceipt	yes
16	1	toWad	yes
16	1	setDecimals	yes
16	2	recordTrade	yes
16	2	updatePrice	no
16	2	applyTrade	yes
16	2	getFee	no
16	2	latestAnswer	yes
16	2	claimReceipt	yes
16	2	withdraw	yes
16	2	_updateTracerLeverage	no
16	3	applyTrade	yes
16	3	applyTrade	yes
16	3	updatePrice	no
16	3	recordTrade	yes
16	3	deposit	yes
16	3	withdraw	yes
16	3	claimReceipt	yes
16	3	liquidate	yes
17	1	distributeStrategyGainLoss	yes
17	1	realizePriceChange	no
17	1	safetyCheck	yes
17	1	_stableToUsd	yes
17	2	burnGToken	no
17	2	mintGToken	yes
17	3	N/A	no
19	1	fulfill	yes
19	3	fulfill	yes
19	3	prepare	yes
20	1	calcAsymmetricValueToken	yes
20	1	calcLiquidityUnits	yes
20	1	getSlipAdustment	yes
20	1	depositForMember	yes
20	1	harvestSingle	yes
20	1	mintSynth	yes
20	1	burnSynth	yes
20	1	removeLiquidityExact	no
20	1	removeLiquiditySingle	yes
20	1	removeForMember	yes
20	1	mintSynth	yes
20	1	burnSynth	yes
20	1	createPoolADD	yes
20	2	transfer	yes
20	2	addForMember	yes
20	2	removeForMember	yes
20	2	buyTo	yes
20	2	mintSynth	yes
20	2	burnSynth	yes
20	2	realise	yes
20	2	harvestSingle	yes
20	2	_addVaultMetrics	no
20	2	calcShare	no
20	2	calcLiquidityHoldings	yes
20	3	calcLiquidityUnits	yes
20	3	getSlipAdustment	yes
20	3	calcSwapOutput	yes
20	3	calcSwapFee	yes
20	3	depositForMember	yes
20	3	harvestSingle	yes
20	3	burnSynth	yes
20	3	decreaseAllowance	no
20	3	_handleTransferIn	yes
20	3	swapTo	yes
20	3	buyTo	yes
20	3	removeForMember	yes
20	3	addForMember	yes
21	1	unstake	yes
21	1	setCooldownFee	no
21	1	stake	yes
21	1	baseData	yes
21	1	strategyDeposit	no
21	1	strategyWithdraw	yes
21	1	baseData	yes
21	2	unstake	yes
21	2	_stake	yes
21	2	stake	yes
21	2	strategyUpdate	no
21	2	strategyDeposit	no
21	3	strategyWithdraw	yes
21	3	strategyUpdate	no
21	3	stake	yes
21	3	unstake	yes
23	1	getDiscountFactor	no
23	1	getSettlementDate	no
23	1	getRiskAdjustedPresentValue	no
23	1	_calcToken	no
23	1	constructor	yes
23	1	transfer	yes
23	1	transferFrom	yes
23	1	notionalCallback	yes
23	1	notionalCallback	yes
23	1	enableWBTC	no
23	1	notionalCallback	yes
23	1	notionalCallback	yes
23	1	enableToken	yes
23	1	_transfer	no
23	2	_transfer	no
23	2	migrateBorrowFromCompound	yes
23	2	enableToken	yes
23	2	migrateDaiEther	no
23	2	enableWBTC	no
23	2	approve	yes
23	2	transfer	yes
23	2	transferFrom	yes
23	2	getSettlementDate	no
23	3	enableWBTC	no
23	3	notionalCallback	yes
23	3	transferFrom	yes
23	3	enableToken	yes
23	3	nTokenTransferApproveAll	no
23	3	nTokenClaimIncentives	no
23	3	getDiscountFactor	no
23	3	getRiskAdjustedPresentValue	no
24	1	redeemToken	yes
24	1	supplyTokenTo	yes
24	3	supplyTokenTo	yes
25	1	claim	yes
25	2	setSource	yes
25	2	peek	yes
25	2	_peek	yes
25	2	setSource	yes
25	2	peek	yes
25	2	_peek	yes
25	2	_updateUserRewards	yes
25	2	claim	yes
25	3	setSources	yes
25	3	setSources	yes
25	3	_peek	yes
25	3	claim	yes
25	3	_updateRewardsPerToken	yes
28	1	initToken	no
28	1	initToken	no
28	1	finalize	yes
28	2	finalize	yes
28	2	initAuctionLauncher	no
28	2	N/A	no
28	3	initToken	no
28	3	mint	yes
28	3	delegateBySig	no
28	3	finalize	yes
28	3	depositToken1	no
28	3	initAuctionLauncher	no
28	3	commitEth	yes
28	3	commitTokensFrom	no
29	1	flashSwap	yes
29	1	flashSwap	yes
29	1	flashSwap	yes
29	1	_getAmountOut	yes
29	2	flashSwap	yes
29	2	mint	yes
29	3	flashSwap	yes
29	3	flashSwap	yes
29	3	mint	yes
30	1	withdraw	yes
30	1	withdraw	yes
30	1	inCaseStrategyGetStuck	yes
30	1	inCaseTokensGetStuck	no
30	2	withdraw	yes
30	2	setCap	yes
30	3	withdraw	yes
30	3	_normalizeDecimals	yes
30	3	withdraw	yes
30	3	inCaseStrategyGetStuck	yes
30	3	N/A	no
31	2	N/A	no
31	3	prepareWithdrawAll	no
31	3	_withdrawSome	no
31	3	_swapcvxCRVToWant	yes
31	3	manualRebalance	yes
34	1	_calculatePrizesAwardable	no
34	2	calculate	yes
34	2	_calculateNumberOfUserPicks	no
34	3	calculate	yes
